variable,n_A,A_true,A_percent_true,n_B,B_true,B_percent_true,odds_ratio_A_vs_B,fisher_p_value
has_garmin_data,14,10,71.42857142857143,14,5,35.714285714285715,4.5,0.12834612105711848
reached_25min_ever,14,4,28.57142857142857,14,4,28.57142857142857,1.0,1.0
reached_30min_ever,14,2,14.285714285714285,14,1,7.142857142857142,2.1666666666666665,1.0
