variable,n_A,n_B,A_median_iqr,B_median_iqr,A_mean,B_mean,mannwhitney_U,p_value,cliffs_delta_B_vs_A
n_garmin_sessions_included,10,5,10.50 [7.00–21.25],20.00 [7.00–22.00],13.1,15.6,22.5,0.8044312406739341,0.1
garmin_max_progress,10,5,0.87 [0.51–1.00],0.80 [0.70–1.00],0.7483,0.78,25.0,1.0,0.0
garmin_total_distance_km,10,5,34.21 [22.32–55.26],72.55 [20.94–74.31],39.44070000000001,49.8218,20.0,0.594072594072594,0.2
garmin_total_running_time_min,10,5,201.35 [135.60–335.01],440.92 [143.13–445.68],227.82150000000001,312.6268,18.0,0.43956043956043955,0.28
garmin_mean_run,10,5,10.08 [7.79–13.61],11.47 [10.88–14.61],11.667182180995969,12.542638311688311,19.0,0.5134865134865134,0.24
garmin_max_run,10,5,21.86 [14.90–26.03],25.12 [25.00–26.58],20.5717,25.119999999999997,17.0,0.37096237096237095,0.32
garmin_last_run,10,5,14.17 [9.20–22.32],18.07 [17.45–18.57],15.7784,17.3402,19.0,0.5134865134865134,0.24
