variable,A_true,A_false,A_total,A_percent_true,B_true,B_false,B_total,B_percent_true,odds_ratio_A_vs_B,p_value
reached_30min_ever,2,12,14,14.285714285714286,1,13,14,7.142857142857143,2.1666666666666665,1.0
completion_suivi_ge80,8,6,14,57.142857142857146,5,9,14,35.714285714285715,2.4,0.4494817606676538
satisfaction_seance_ge4,8,6,14,57.142857142857146,10,4,14,71.42857142857143,0.5333333333333333,0.6945842868039667
satisfaction_algorithme_ge4,12,2,14,85.71428571428571,10,4,14,71.42857142857143,2.4,0.6483091787439613
any_algorithm_problem,3,11,14,21.428571428571427,5,9,14,35.714285714285715,0.4909090909090909,0.6776167471819643
